offspring,mother,father,cluster
658,041,,2
661,689,667,3
662,042,828,2
663,656,666,2
668,042,828,2
689,812,037,3
701,684,,2
717,698,,5
718,684,,2
724,689,667,3
725,796,,2
726,799,662,2
727,799,662,2
728,674,,2
729,700,,2
731,806,660,1
732,672,711,2
733,799,662,2
735,799,662,2
736,791,311,8
738,718,699,2
739,672,711,2
742,718,699,2
743,748,668,2
745,748,668,2
746,799,662,2
747,684,,2
750,766,663,2
751,672,711,2
752,806,660,1
753,689,667,3
754,718,699,2
755,718,699,2
756,689,667,3
757,714,760,4
758,689,667,3
760,676,704,4
763,729,701,2
764,698,,5
765,766,663,2
766,718,699,2
767,726,795,2
768,798,751,2
769,672,711,2
770,672,711,2
771,724,659,3
772,798,751,2
774,703,727,2
775,766,663,2
776,724,659,3
777,724,659,3
779,799,662,2
781,748,668,2
782,794,797,2
783,794,797,2
784,729,701,2
785,672,711,2
786,799,662,2
787,703,727,2
789,748,668,2
790,806,660,1
792,698,,5
793,724,659,3
794,674,,2
797,799,662,2
798,799,662,2
799,679,657,2
800,799,662,2
801,726,795,2
807,766,663,2
822,684,,2
823,672,711,2
824,714,760,4
826,799,662,2
314,729,701,2
