x,y,date,sample_type,animal,sex,sample_name,reference_sample
415290.450253054,48492.5777632967,2010-04-23,Saliva,657,M,AH.03MT,AH.03MT
439351.276081242,44444.3119629659,2014-12-22,Saliva,657,M,EX.1JKT,AH.03MT
445348.922345959,44420.5998706836,2014-12-15,Saliva,658,M,EX.1JJ1,AL.05PH
446925.879573056,49001.3767746985,2015-07-10,Saliva,658,M,EX.1JL4,AL.05PH
447213.714914329,48824.642284099,2015-07-10,Saliva,658,M,EX.1JLH,AL.05PH
450965.264508208,55568.0969687775,2016-01-07,Urine,658,M,AL.05PH,AL.05PH
450637.251488231,56376.535056565,2016-01-08,Urine,658,M,AL.05P7,AL.05PH
453529.315579208,48253.9727955423,2016-01-23,Urine,658,M,M225U,AL.05PH
488253.88799751,47254.6245397553,2015-08-21,Saliva,659,M,EX.1JAC,M1PT4
488189.691438375,47295.0217700116,2015-08-21,Saliva,659,M,EX.1JLC,M1PT4
472384.605586549,57324.0608998388,2015-08-27,Scat,659,M,M1P4E,M1PT4
488195.955023162,46809.5498710126,2015-09-07,Saliva,659,M,EX.1JCX,M1PT4
488369.456784979,46938.9391861334,2015-09-07,Saliva,659,M,EX.1JCU,M1PT4
488041.718171436,47205.8051742092,2015-09-07,Saliva,659,M,EX.1JE8,M1PT4
476205.359472504,53522.7397386096,2015-09-18,Scat,659,M,M1PT4,M1PT4
488433.796665987,52441.1431383342,2016-01-16,Urine,659,M,AL.05PE,M1PT4
487801.367550479,51491.1600285955,2016-01-16,Urine,659,M,AL.05PJ,M1PT4
478113.82832272,58185.9211682193,2016-08-20,Scat,659,M,M20MA,M1PT4
492092.459944809,47777.7767867222,2016-10-14,Scat,659,M,M224C,M1PT4
478372.628724476,59443.6986446958,2016-11-09,Urine,659,M,M20HH,M1PT4
478176.359640123,59298.5089527573,2017-01-15,Scat,659,M,M203T,M1PT4
484151.342646498,63643.3570623863,2017-01-26,Urine,659,M,M2021,M1PT4
488317.339300485,48337.7319232654,2017-02-16,Scat,659,M,M1YXT,M1PT4
448019.539231449,52763.4419867489,2013-03-17,Urine,662,M,AL.05UP,AL.05UP
429326.137926539,64750.029566301,2015-06-22,Scat,662,M,EF.15T6,AL.05UP
424576.000410812,62195.8060872555,2015-07-09,Saliva,662,M,EX.1JK0,AL.05UP
425812.36226582,61534.668652527,2015-08-19,Saliva,662,M,EX.1JK2,AL.05UP
425720.827035774,63893.076524809,2015-08-20,Saliva,662,M,EX.1JLX,AL.05UP
447784.376372648,58071.0612121057,2016-01-21,Urine,662,M,M225P,AL.05UP
449154.176306551,52251.0791367255,2016-02-21,Urine,662,M,M21KY,AL.05UP
451582.115705824,56312.8493971657,2017-02-10,Scat,662,M,M2006,AL.05UP
447376.699113417,59637.5421514083,2017-02-25,Urine,662,M,M1YPA,AL.05UP
449266.775704157,85027.4596016221,2013-03-24,Urine,663,M,AL.05UY,AL.05UY
453316.10047812,80262.1400352698,2015-07-07,Scat,663,M,M0P8X,AL.05UY
449458.686462024,78232.6374594569,2015-11-04,Scat,663,M,M1PJ1,AL.05UY
457143.621395016,82362.4929950684,2016-02-02,Scat,663,M,M1XC5,AL.05UY
448935.208870998,85313.5739013087,2016-02-11,Scat,663,M,M0PPL,AL.05UY
449231.412953114,84466.7772189453,2016-12-06,Scat,663,M,M206H,AL.05UY
452705.517949533,80214.9479427636,2017-01-22,Urine,663,M,M203L,AL.05UY
451485.259813556,81595.5464853402,2017-01-22,Urine,663,M,M203M,AL.05UY
445683.118497236,84060.443904411,2017-01-29,Urine,663,M,M1YYH,AL.05UY
445521.858606307,84406.041779967,2017-01-29,Urine,663,M,M1YYJ,AL.05UY
452348.703709273,62034.567160001,2017-02-10,Scat,663,M,M200A,AL.05UY
458770.261122171,76277.228053106,2017-03-15,Scat,663,M,M1YF2,AL.05UY
450213.805395987,82107.4068052508,2017-04-10,Scat,663,M,M1F2J,AL.05UY
450443.474231772,82182.0350111034,2017-04-10,Scat,663,M,M1FM1,AL.05UY
450171.975565115,82040.1045257971,2017-04-10,Scat,663,M,M1FXA,AL.05UY
480339.006594039,55820.488475984,2013-03-01,Urine,667,M,AL.0607,AL.0607
476414.854938308,58564.0773945116,2015-02-16,Scat,667,M,EF.15PJ,AL.0607
429429.918391472,65747.3627092447,2012-12-13,Urine,668,M,AL.0611,AL.0611
420756.148851974,46191.5423091128,2017-01-16,Urine,668,M,M204F,AL.0611
419124.221681245,49065.3339798097,2017-01-20,Urine,668,M,M1YY2,AL.0611
505489.833204482,40222.9302079845,2010-12-03,Urine,672,F,AL.068T,AL.068T
468879.576956861,44245.3038664497,2010-07-18,Blood,674,F,AM.07FM,AM.07FM
421341.157883495,47124.67491832,2011-06-29,Scat,679,F,AU.0AEF,AU.0AEF
461316.858917592,41514.5394358169,2010-08-26,Scat,684,F,AU.0AMA,AU.0AMA
485936.641852895,55499.4236043412,2011-02-08,Scat,689,F,AU.0C0X,AU.0C0X
475880.75917932,58362.7250863165,2014-02-17,Scat,689,F,EF.15PT,AU.0C0X
481487.818829939,56917.5452944171,2014-07-30,Saliva,689,F,EX.1JME,AU.0C0X
472308.191154223,56542.7207036894,2015-08-18,Saliva,689,F,EX.1JHC,AU.0C0X
472330.306427214,57079.2920741085,2015-08-26,Saliva,689,F,EX.1JJH,AU.0C0X
488010.593231013,47081.8638883177,2015-09-07,Saliva,689,F,EX.1JE3,AU.0C0X
488364.934029222,46955.3030773085,2015-09-19,Saliva,689,F,EX.1JA3,AU.0C0X
488837.476059312,47033.827962596,2015-09-23,Saliva,689,F,EX.1JA1,AU.0C0X
473037.46914658,56010.5253896359,2015-09-24,Saliva,689,F,EX.1J8K,AU.0C0X
465964.456135007,59735.0290980097,2012-12-10,Scat,699,M,AX.0CTF,AX.0CTF
472513.006241517,66965.3154228814,2014-09-17,Saliva,699,M,EE.14AL,AX.0CTF
455620.37530976,53931.5570257045,2015-08-20,Scat,699,M,M0PAU,AX.0CTF
