x,y,date,sample_type,animal,sex,sample_name
630736,-158673,1996-01-14,Decomposing Tissue,079,,AP.07T2
630736,-158673,1996-01-14,Tissue,080,M,AP.07T4
630736,-158673,1996-01-14,Decomposing Tissue,081,M,AP.07T6
630736,-158673,1996-01-14,Tissue,109,F,AP.07XM
630736,-158673,1996-01-14,Tissue,110,M,AP.07XT
561700,-67150,1996-02-11,Tissue,099,M,AP.07UM
561700,-67150,1996-02-11,Decomposing Tissue,105,,AP.07X4
561700,-67150,1996-02-11,Decomposing Tissue,144,M,AP.0823
618775,-136401,1996-10-28,Tissue,082,M,AP.07T7
478450,28000,1996-11-13,Tissue,083,F,AP.07TF
625246,-148198,1997-01-27,Tissue,066,F,AP.07P4
637826,-145664,1997-08-02,Decomposing Tissue,067,M,AP.07P5
514140,20900,1997-08-29,Tissue,106,M,AP.07X7
646261,-144670,1997-11-10,Tissue,146,M,AP.0825
619058,-161834,1998-01-23,Tissue,226,M,AP.087Y
574471,-67398,1998-02-06,Tissue,090,F,AP.07U3
599900,-173400,1998-06-15,Tissue,068,F,AP.07P6
603350,-170790,1998-10-25,Tissue,065,F,AP.07P2
602654,-168642,1998-12-15,Decomposing Tissue,121,F,AP.07YU
563259,-130295,1998-12-24,Decomposing Tissue,107,M,AP.07X8
636257,-161346,1999-03-14,Decomposing Tissue,043,M,AP.07LP
636738,-170128,1999-07-29,Decomposing Tissue,084,,AP.07TK
586276,-142872,2000-01-14,Decomposing Tissue,045,,AP.07LU
484337,27843,2000-03-18,Decomposing Tissue,108,,AP.07XJ
569673,-88335,2000-10-09,Tissue,071,M,AP.07PC
669312,-174761,2000-10-15,Decomposing Tissue,295,,CH.0LLL
640979,-178488,2001-01-19,Tissue,085,M,AP.07TU
685516,-211531,2001-08-30,Tissue,087,M,AP.07U0
552162,-55597,2001-09-22,Decomposing Tissue,044,,AP.07LT
552162,-55597,2001-09-22,Decomposing Tissue,089,M,AP.07U2
633031,-163387,2002-01-28,Decomposing Tissue,125,M,AP.0805
554944,-38847,2002-08-15,Tissue,072,F,AP.07PE
632885,-163751,2002-10-01,Tissue,145,M,AP.0824
571880,60181,2002-12-14,Decomposing Tissue,086,M,AP.07TX
447846,44112,2003-02-09,Tissue,001,F,001y
633031,-163387,2003-02-21,Decomposing Tissue,143,M,AP.0821
456265,53649,2003-06-11,Tissue,003,F,050y
599174,-168483,2003-06-12,Decomposing Tissue,093,,AP.07U7
592541,-166178,2003-07-15,Decomposing Tissue,075,M,AP.07PJ
592541,-166178,2003-07-15,Tissue,088,M,AP.07U1
454678,51656,2003-07-22,Tissue,006,F,053y
440098,61233,2003-07-26,Tissue,005,F,052y
535534,-31629,2003-07-27,Tissue,136,M,AP.081H
441287,80387,2003-08-15,Tissue,004,F,051y
485616,49925,2003-10-04,Tissue,002,M,035y
470783,61748,2003-11-04,Tissue,007,F,057y
534428,-70295,2003-11-25,Decomposing Tissue,120,M,AP.07YT
485953,60634,2003-12-07,Tissue,008,F,062y
422426,49151,2003-12-07,Tissue,009,F,070y
596714,-127160,2003-12-07,Tissue,092,M,AP.07U6
598767,-166128,2003-12-14,Tissue,115,M,AP.07Y6
675208,-131311,2004-02-06,Tissue,077,M,AP.07PX
675208,-131311,2004-02-06,Tissue,103,M,AP.07X0
675208,-131311,2004-03-06,Tissue,112,M,AP.07XY
675208,-131311,2004-03-06,Tissue,114,M,AP.07Y2
499446,-12806,2004-04-02,Decomposing Tissue,074,M,AP.07PH
535062,-60984,2004-05-11,Tissue,094,M,AP.07U8
467676,47278,2004-08-28,Decomposing Tissue,098,M,AP.07UL
578583,-65924,2004-09-21,Tissue,070,F,AP.07PA
496000,47500,2004-12-06,Tissue,010,F,125y
453539,53546,2004-12-22,Tissue,011,F,206y
634792,-159051,2004-12-22,Tissue,069,F,AP.07P8
523815,28431,2005-01-02,Decomposing Tissue,091,F,AP.07U5
584701,-129153,2005-02-17,Decomposing Tissue,127,F,AP.080Y
597146,-128194,2005-02-17,Tissue,129,F,AP.0811
624645,-170740,2005-04-18,Tissue,130,F,AP.0812
660936,-182164,2005-06-14,Tissue,128,F,AP.0810
650613,-166388,2005-07-20,Decomposing Tissue,131,M,AP.0813
680846,-184698,2005-08-03,Tissue,073,M,AP.07PF
680846,-184698,2005-08-03,Decomposing Tissue,102,,AP.07UY
558849,-69004,2005-08-21,Tissue,116,F,AP.07Y7
573125,-82437,2005-08-31,Tissue,118,M,AP.07YC
632704,-164087,2005-09-19,Decomposing Tissue,296,F,CH.0LLM
650613,-166388,2005-09-21,Tissue,117,F,AP.07YA
599144,-148012,2005-11-04,Tissue,142,M,AP.0820
472256,53144,2005-11-11,Tissue,015,F,311y
489960,26358,2005-11-16,Tissue,097,M,AP.07UJ
500023,57552,2005-12-12,Tissue,014,M,310y
499493,55165,2005-12-17,Tissue,013,M,309y
651368,-170247,2005-12-24,Tissue,100,M,AP.07UT
440477,61570,2005-12-26,Tissue,012,M,263y
636693,-160641,2006-01-17,Tissue,299,F,CH.0LLU
670179,-185244,2006-02-27,Tissue,148,F,AP.082A
715088,-231663,2006-03-13,Decomposing Tissue,048,M,AP.07M0
715088,-231663,2006-03-13,Tissue,053,F,AP.07M5
715088,-231663,2006-03-22,Tissue,096,M,AP.07UH
534862,-79765,2006-05-12,Decomposing Tissue,046,M,AP.07LX
467976,60784,2006-06-08,Tissue,016,M,343y
478395,24243,2006-07-15,Tissue,104,F,AP.07X1
506960,67583,2006-09-11,Tissue,020,F,414y
530941,-53158,2006-10-06,Tissue,057,M,AP.07MA
655615,-178853,2006-10-24,Tissue,124,F,AP.0802
484526,49710,2006-11-02,Tissue,017,M,390y
501434,58114,2006-11-04,Tissue,018,F,399y
497869,56947,2006-11-04,Tissue,019,F,400y
504609,23442,2006-11-04,Tissue,228,F,AP.0882
469206,49043,2006-11-13,Tissue,152,F,AP.083E
482737,51214,2006-12-04,Tissue,021,M,431y
482315,50712,2006-12-17,Tissue,022,F,437y
501444,56495,2006-12-20,Tissue,024,M,439y
436316,67049,2006-12-21,Tissue,023,F,438y
557271,-53560,2006-12-27,Tissue,186,M,AP.085K
417835,47410,2007-01-01,Tissue,026,M,530y
536907,7525,2007-02-07,Tissue,188,F,AP.085P
627283,-147468,2007-03-03,Tissue,165,F,AP.084C
572852,-128522,2007-03-11,Tissue,157,F,AP.083Y
441315,61632,2007-08-03,Tissue,025,F,528y
522064,1355,2007-08-09,Tissue,138,M,AP.081L
487863,65947,2007-08-27,Tissue,029,F,537y
483151,52558,2007-09-08,Tissue,030,F,538y
446865,57702,2007-09-12,Scat,291,F,AU.0C8M
442202,56720,2007-09-14,Tissue,027,M,532y
507066,-33546,2007-09-15,Tissue,064,M,AP.07P0
544256,-48202,2007-10-15,Tissue,155,M,AP.083U
596310,-163519,2007-10-18,Tissue,187,F,AP.085L
511512,-54678,2007-10-19,Decomposing Tissue,156,M,AP.083X
458036,39690,2007-10-24,Decomposing Tissue,167,M,AP.084H
485134,50395,2007-10-25,Tissue,028,F,534y
601190,-107629,2007-11-21,Tissue,141,M,AP.081T
500854,2709,2007-11-21,Tissue,164,F,AP.084A
586653,-114024,2007-11-26,Tissue,166,M,AP.084E
581590,-124917,2007-11-29,Tissue,133,M,AP.081A
499834,56626,2007-12-13,Tissue,032,M,581y
457777,44318,2007-12-23,Scat,696,F,AU.0C8P
597301,-132163,2007-12-31,Tissue,135,M,AP.081F
572852,-128522,2008-01-11,Tissue,134,M,AP.081C
682368,-181304,2008-02-28,Decomposing Tissue,078,M,AP.07T1
520827,7380,2008-03-21,Decomposing Tissue,122,M,AP.07YY
626613,-172104,2008-03-27,Tissue,132,F,AP.0817
540842,-76455,2008-04-04,Tissue,140,M,AP.081P
479374,28534,2008-05-10,Decomposing Tissue,076,M,AP.07PK
479374,28534,2008-05-10,Decomposing Tissue,101,M,AP.07UU
479374,28534,2008-05-10,Decomposing Tissue,111,M,AP.07XU
479374,28534,2008-05-10,Decomposing Tissue,113,M,AP.07Y0
638577,-182290,2008-06-09,Decomposing Tissue,095,,AP.07UA
449386,58214,2008-09-01,Blood,804,F,TINA
470989,48671,2008-11-25,Tissue,123,M,AP.0801
546642,-126502,2008-11-27,Tissue,139,F,AP.081M
474943,26135,2008-11-28,Tissue,178,M,AP.0854
557305,-103373,2008-11-30,Tissue,177,M,AP.0853
466382,42483,2008-12-09,Tissue,180,M,AP.0856
520370,-22699,2008-12-21,Tissue,179,M,AP.0855
638577,-182290,2008-12-24,Tissue,182,M,AP.0858
564073,-139591,2008-12-26,Tissue,119,M,AP.07YL
541743,-67492,2008-12-27,Tissue,173,F,AP.084Y
688582,-218050,2008-12-28,Tissue,153,M,AP.083P
484844,50185,2009-01-11,Tissue,033,M,697y
682368,-181304,2009-01-12,Tissue,151,F,AP.0838
482927,19683,2009-01-12,Tissue,181,M,AP.0857
447428,44725,2009-01-13,Scat,695,F,AU.0C8L
499193,56393,2009-01-22,Tissue,035,M,702y
500306,57285,2009-01-24,Tissue,036,F,703y
548963,-45342,2009-01-24,Tissue,169,M,AP.084P
